sentence,label
很高兴见到你啊,0
你好,0
早,0
早上好,0
好久不见,0
你好,0
今天准备去哪儿啊,0
吃过饭了没有,0
你叫什么呀,0
嗨,0
在吗,0
最近怎么样,0
你叫什么名字呀,0
你是男的女的,0
你有什么功能,0
你能帮我做什么事情,0
有什么问题可以问你,0
你可以回答什么样的问题,0
能不能自我介绍一下,0
你是谁,0
我想了解你,0
介绍一下你自己呗,0
你可以做什么呀,0
什么事情可以交给你做？,0
介绍一下你的功能好不好,0
我想了解你的功能,0
今天天气怎么样,0
今天多少度,0
我今天该穿什么衣服呀,0
今天下雨吗,0
今天出门需要带伞吗,0
台风来了么,0
台风什么时候来,0
近期有没有雾霾,0
今天紫外线强吗，需不需要抹防晒霜,0
我想问一下下礼拜的天气情况,0
这个礼拜日有雨吗,0
今天什么天气,0
最近天气怎么样,0
明天什么天气,0
这周一什么天气,0
下周一什么天气,0
这个礼拜一什么天气,0
下个礼拜一什么天气,0
这个星期一什么天气,0
下个星期一什么天气,0
我想知道明天天气怎么样,0
能不能告诉我明天什么天气呀,0
明天是晴天还是阴天,0
我想知道未来七天的天气,0
下下个星期天气怎么样,0
后天什么天气,0
接下来的几天天气怎么样,0
今天吃什么呢,0
附近有什么好吃的,0
附近有没有茶餐厅,0
我想吃鸡腿可以去哪一家餐厅,0
这边有没有素食餐厅,0
附近比较好的西餐厅是哪个,0
日本料理哪家好吃,0
想吃韩国烤肉有没有推荐,0
能不能推荐一个火锅店,0
急！附近有没有快餐,0
你知不知道附近有什么好吃的呀,0
请问附近有什么吃的呢,0
我想吃东西，给我看看有什么好吃的,0
饿了，有没有什么吃的推荐吖,0
你好，我想吃的这附近有什么好吃的,0
请问附近有什么餐厅,0
有什么好吃的推荐吗,0
我想问有什么吃的推荐吗,0
有什么餐厅推荐吗,0
请问有什么好推荐的吗,0
请问附近有什么快餐店,0
附近有没有茶餐厅呀，我想吃下午茶,0
我想知道这附近有没有快餐店呀,0
我想问这附近有没有茶餐厅,0
这边有什么好吃的,0
哪边有东西吃,0
可以去哪边找吃的,0
肚子好饿哦，有什么吃的,0
有什么好吃的,0
有什么餐厅比较近,0
有什么快餐店比较近,0
附近有什么好吃的东西可以买,0
附近有没有东西吃,0
我想知道附近有什么吃的,0
附近有没有排档,0
附近有没有好吃的,0
附近有没有好吃的东西,0
附近有没有餐厅,0
有没有好吃的推荐,0
有没有吃的东西可以推荐,0
有没有餐厅推荐的,0
离这里最近的餐厅是什么,0
有没有餐厅比较近,0
有没有快餐店比较近,0
我想问一下附近有什么吃的,0
可不可以告诉我最近的餐厅在哪里,0
请问最近的快餐店是哪家,0
最近的茶餐厅在哪边,0
我想问一下有什么好吃的推荐吗,0
我想问一下附近有没有大排档,0
我想问下可以去哪边找吃的,0
我想问下附近有什么吃的,0
我想问下这边有什么好吃的东西,0
你好漂亮,0
你好帅呀,0
怎么可以有长得这么好看的人,0
明明可以靠脸，非要靠才华,0
你的出现是为了拯救人类吗,0
你人好好哦,0
人美心善说的就是你,0
你简直就是个天才,0
同样都是人，我什么时候才能赶上你一半的聪明,0
你身材好好,0
电梯坏了,1
20层的灯不亮了,1
停水了吗,1
好像停水了，我想问下发生了什么事,1
我家里停电了，是整栋楼都停电了吗,1
电还是没有来，请问什么时候能送电,1
突然水龙头不出水了是什么情况,1
只有厕所没有水是怎么回事,1
突然没有水了,1
家里没有水了，停水了吗,1
什么时候厕所能有水,1
什么时候可以送电呀,1
现在这个情况会持续到什么时候,1
现在没有水了怎么办啊，有没有临时水可以供应,1
没有电怎么办,1
今天是不是停水,1
现在有煤气了吗,1
水龙头爆了能不能找人来修一下,1
跳电了，帮我报告管理处,1
大堂有东西坏了呀,1
楼梯间的灯坏了,1
能去我楼层的那部电梯停了,1
我家门锁有问题,1
大堂玻璃裂了,1
门口有一棵树倒了,1
门口的路灯不够亮,1
我家下水道有点堵,1
商场一楼到二楼有一个扶梯坏了,1
大厦外墙有墙皮脱落,1
商场wifi不能用,1
公园有东西坏了,1
排污水管漏水,1
有电线杆倒了,1
公园的椅子不稳,1
大厦里信号不稳定,1
大厦里信号接收不良,1
门口打卡机不响了,1
我信箱锁坏了,1
大门密码锁按不动,1
电视没有信号,1
地板裂了,1
路灯倒了,1
路灯不亮,1
玻璃门的把手坏了,1
防火门开不开,1
有人乱丢垃圾啊,1
麻烦看一下是谁在乱扔垃圾,1
小区的管理要整顿一下呀,1
管理条例有问题,1
管理条例写的不够清楚具体,1
叫人管一下他们啦,1
我看到有人随地吐痰,1
这边有人打架,1
隔壁装修好吵,1
楼上空调滴水,1
有人从楼上往下扔东西,1
有人随地大小便,1
好多虫子从隔壁过来,1
能不能找人整理一下垃圾,1
有人往垃圾桶里扔烟头,1
有人在屋里抽烟,1
家里点灯坏了可以帮忙维修吗,1
我家里跑水了,1
电梯坏了,1
怎么报修,1
楼道的垃圾太臭了,1
有人在紧急出口摆放物品,1
台风过后我家窗户有点漏雨，能不能找人来看看,1
邻居的小朋友非常吵,1
有人周末早晨6点装修，非常吵,1
防火栓被大件物体挡住了,1
最近有什么通知,1
如果有紧急情况怎么通知业主或租户,1
我要出远门了，最近会不会停电,1
我想看看近期的通知,1
发最近的通知给我，我看看有没有错过什么,1
通知会贴在哪里,1
哪里可以看通知,1
有没有和我有关的通知,1
有我的通知吗,1
有没有有关公共设施的通知,1
我想看公共设施的维修通知,1
什么时候停电,1
什么时候停水,1
煤气会停么,1
停水停电一般提前多久通知,1
近期有没有通知,1
你好，我想问一下有没有通知,1
通知公告栏在哪里,1
有新通知吗,1
我想看一下重要通知,1
请问有没有这个月的通知,1
检查一下通知,1
给我看一下最近的通知可以吗,1
